"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ZONGOLICA";"ZOMAJAPA";3;0;0;3;1;0;2;0;0;0;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"TEHUIPANGO";"TILICA";2;0;0;2;0;0;3;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"ATZALAN";"ATZALAN";3;0;0;4;1;0;4;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"TEHUIPANGO";"XOPILAPA";2;0;0;3;1;0;3;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ATZACAN";"LA SIDRA";4;0;0;4;0;0;4;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"LAS MINAS";"LAS MINAS";3;0;0;2;1;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"VILLA ALDAMA";"COLONIA LIBERTAD";2;0;0;1;0;0;1;0;0;3;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"AYAHUALULCO";"EL TRIUNFO";3;0;0;2;2;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"PAPANTLA";"TENIXTEPEC";2;0;0;0;1;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"COTAXTLA";"MATA TEJON";1;0;0;1;0;0;2;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"PAPANTLA";"PAPANTLA DE OLARTE";6;0;0;10;1;1;20;1;1;3;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"MANLIO FABIO ALTAMIRANO";"LOMA DE LOS CARMONA";1;0;0;2;1;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"OTEAPAN";"OTEAPAN";4;0;0;9;0;0;10;0;0;3;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"PAJAPAN";"PAJAPAN";4;0;0;3;0;0;5;0;1;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SAN ANDRES TUXTLA";"SAN ANDRES TUXTLA";10;0;0;24;0;0;27;0;9;1;5
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"SOTEAPAN";"EL TULIN";2;0;0;1;1;0;1;0;0;0;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"AYAHUALULCO";"LOS ALTOS";4;0;0;3;2;0;2;0;0;3;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"MARTINEZ DE LA TORRE";"MARTINEZ DE LA TORRE";7;0;0;14;0;2;23;1;3;8;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"TANTOYUCA";"TANTOYUCA";8;0;0;11;0;1;11;1;4;17;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"MARIANO ESCOBEDO";"MARIANO ESCOBEDO";3;0;0;3;1;0;3;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SAN ANDRES TUXTLA";"BALZAPOTE";2;0;0;0;1;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ZONGOLICA";"XONAMANCA";3;0;0;2;1;0;4;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ZONGOLICA";"LAGUNA IXPALUCA";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"TUXPAN";"TEPETZINTLA";"CUAMANCO";1;0;0;1;1;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"COMAPA";"POTRERO DE LA CRUZ";2;0;0;1;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"PASO DE OVEJAS";"CERRO GUZMAN";1;0;0;1;1;0;2;1;0;0;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"SOTEAPAN";"COLONIA BENITO JUAREZ";1;0;0;1;0;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"CARRILLO PUERTO";"SANTIAGO HUATUSCO";2;0;0;1;0;0;1;0;0;0;0
